Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.39, Position: (-113.90, 45.78, 21.56)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.39, Position: (-113.90, 45.78, 21.56)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.41, Position: (-113.84, 45.81, 21.54)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.41, Position: (-113.84, 45.81, 21.54)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.44, Position: (-113.75, 45.87, 21.51)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.44, Position: (-113.75, 45.87, 21.51)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.48, Position: (-113.62, 45.94, 21.47)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.48, Position: (-113.62, 45.94, 21.47)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.49, Position: (-113.58, 45.97, 21.46)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.49, Position: (-113.58, 45.97, 21.46)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.50, Position: (-113.54, 45.99, 21.44)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.50, Position: (-113.54, 45.99, 21.44)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.52, Position: (-113.48, 46.03, 21.43)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.52, Position: (-113.48, 46.03, 21.43)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.53, Position: (-113.44, 46.06, 21.41)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.53, Position: (-113.44, 46.06, 21.41)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.55, Position: (-113.40, 46.08, 21.39)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.55, Position: (-113.40, 46.08, 21.39)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.56, Position: (-113.36, 46.11, 21.38)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.56, Position: (-113.36, 46.11, 21.38)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.57, Position: (-113.32, 46.13, 21.36)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.57, Position: (-113.32, 46.13, 21.36)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.59, Position: (-113.28, 46.16, 21.35)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.59, Position: (-113.28, 46.16, 21.35)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.70, Position: (-113.00, 46.34, 21.21)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.70, Position: (-113.00, 46.35, 21.21)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.84, Position: (-112.92, 46.70, 21.08)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.84, Position: (-112.92, 46.70, 21.08)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.86, Position: (-112.92, 46.73, 21.07)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.86, Position: (-112.92, 46.73, 21.07)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.87, Position: (-112.93, 46.71, 21.08)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.87, Position: (-112.91, 46.75, 21.06)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.87, Position: (-112.91, 46.75, 21.06)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.88, Position: (-112.92, 46.74, 21.07)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.88, Position: (-112.91, 46.77, 21.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.88, Position: (-112.91, 46.77, 21.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.89, Position: (-112.92, 46.76, 21.06)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.89, Position: (-112.92, 46.76, 21.06)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.90, Position: (-112.90, 46.80, 21.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.90, Position: (-112.90, 46.80, 21.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.90, Position: (-112.91, 46.78, 21.05)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.91, Position: (-112.90, 46.82, 21.04)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.91, Position: (-112.90, 46.82, 21.04)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.92, Position: (-112.89, 46.84, 21.03)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 62.92, Position: (-112.89, 46.84, 21.03)
Collision with: UnloadingArea, Time: 88.81, Position: (-75.64, 49.68, -45.16)
Collision with: UnloadingArea, Time: 92.20, Position: (-77.53, 47.31, -43.95)
Collision with: UnloadingArea, Time: 92.32, Position: (-77.52, 47.31, -43.99)
Collision with: UnloadingArea, Time: 92.43, Position: (-77.53, 47.27, -43.99)
